,Init Mode,Learning Rate,Batch Size,# of Epochs,Accuracy
486,xavier,0.85272,16,1000,62.0
501,xavier,0.85272,256,500,62.0
512,xavier,0.013420000000000001,16,100,62.0
520,xavier,0.013420000000000001,64,100,62.0
527,xavier,0.013420000000000001,128,2000,62.0
544,xavier,0.15482,32,100,62.0
570,gauss,0.9147400000000001,16,1000,62.0
598,gauss,0.9149,16,1000,62.0
621,gauss,0.45595,8,500,62.0
675,gauss,0.41642,4,2000,62.0
677,gauss,0.41642,8,500,62.0
696,gauss,0.41642,256,100,62.0
715,gauss,0.6437900000000001,32,2000,62.0
730,gauss,0.7853300000000001,4,1000,62.0
743,gauss,0.7853300000000001,32,2000,62.0
766,gauss,0.85272,16,1000,62.0
776,gauss,0.85272,128,100,62.0
824,gauss,0.15482,32,100,62.0
80,zero,0.45595,256,100,61.0
145,zero,0.6437900000000001,8,500,61.0
160,zero,0.6437900000000001,128,100,61.0
198,zero,0.85272,4,1000,61.0
228,zero,0.013420000000000001,8,100,61.0
233,zero,0.013420000000000001,16,500,61.0
247,zero,0.013420000000000001,128,2000,61.0
264,zero,0.15482,32,100,61.0
341,xavier,0.45595,8,500,61.0
396,xavier,0.41642,8,100,61.0
425,xavier,0.6437900000000001,8,500,61.0
440,xavier,0.6437900000000001,128,100,61.0
504,xavier,0.013420000000000001,4,100,61.0
526,xavier,0.013420000000000001,128,1000,61.0
553,xavier,0.15482,128,500,61.0
660,gauss,0.21651,64,100,61.0
664,gauss,0.21651,128,100,61.0
676,gauss,0.41642,8,100,61.0
705,gauss,0.6437900000000001,8,500,61.0
720,gauss,0.6437900000000001,128,100,61.0
758,gauss,0.85272,4,1000,61.0
788,gauss,0.013420000000000001,8,100,61.0
806,gauss,0.013420000000000001,128,1000,61.0
837,gauss,0.15482,256,500,61.0
3,zero,0.9147400000000001,4,2000,60.0
6,zero,0.9147400000000001,8,1000,60.0
31,zero,0.9149,4,2000,60.0
34,zero,0.9149,8,1000,60.0
81,zero,0.45595,256,500,60.0
110,zero,0.21651,256,1000,60.0
136,zero,0.41642,256,100,60.0
137,zero,0.41642,256,500,60.0
143,zero,0.6437900000000001,4,2000,60.0
171,zero,0.7853300000000001,4,2000,60.0
199,zero,0.85272,4,2000,60.0
211,zero,0.85272,32,2000,60.0
237,zero,0.013420000000000001,32,500,60.0
242,zero,0.013420000000000001,64,1000,60.0
277,zero,0.15482,256,500,60.0
283,xavier,0.9147400000000001,4,2000,60.0
286,xavier,0.9147400000000001,8,1000,60.0
311,xavier,0.9149,4,2000,60.0
314,xavier,0.9149,8,1000,60.0
340,xavier,0.45595,8,100,60.0
389,xavier,0.21651,256,500,60.0
423,xavier,0.6437900000000001,4,2000,60.0
451,xavier,0.7853300000000001,4,2000,60.0
479,xavier,0.85272,4,2000,60.0
491,xavier,0.85272,32,2000,60.0
531,xavier,0.013420000000000001,256,2000,60.0
563,gauss,0.9147400000000001,4,2000,60.0
566,gauss,0.9147400000000001,8,1000,60.0
580,gauss,0.9147400000000001,128,100,60.0
591,gauss,0.9149,4,2000,60.0
594,gauss,0.9149,8,1000,60.0
608,gauss,0.9149,128,100,60.0
620,gauss,0.45595,8,100,60.0
641,gauss,0.45595,256,500,60.0
668,gauss,0.21651,256,100,60.0
669,gauss,0.21651,256,500,60.0
670,gauss,0.21651,256,1000,60.0
692,gauss,0.41642,128,100,60.0
697,gauss,0.41642,256,500,60.0
703,gauss,0.6437900000000001,4,2000,60.0
731,gauss,0.7853300000000001,4,2000,60.0
759,gauss,0.85272,4,2000,60.0
771,gauss,0.85272,32,2000,60.0
793,gauss,0.013420000000000001,16,500,60.0
802,gauss,0.013420000000000001,64,1000,60.0
807,gauss,0.013420000000000001,128,2000,60.0
828,gauss,0.15482,64,100,60.0
832,gauss,0.15482,128,100,60.0
833,gauss,0.15482,128,500,60.0
96,zero,0.21651,32,100,59.0
109,zero,0.21651,256,500,59.0
173,zero,0.7853300000000001,8,500,59.0
180,zero,0.7853300000000001,32,100,59.0
238,zero,0.013420000000000001,32,1000,59.0
273,zero,0.15482,128,500,59.0
453,xavier,0.7853300000000001,8,500,59.0
521,xavier,0.013420000000000001,64,500,59.0
557,xavier,0.15482,256,500,59.0
632,gauss,0.45595,64,100,59.0
797,gauss,0.013420000000000001,32,500,59.0
798,gauss,0.013420000000000001,32,1000,59.0
15,zero,0.9147400000000001,32,2000,57.99999999999999
43,zero,0.9149,32,2000,57.99999999999999
174,zero,0.7853300000000001,8,1000,57.99999999999999
196,zero,0.85272,4,100,57.99999999999999
201,zero,0.85272,8,500,57.99999999999999
202,zero,0.85272,8,1000,57.99999999999999
232,zero,0.013420000000000001,16,100,57.99999999999999
241,zero,0.013420000000000001,64,500,57.99999999999999
243,zero,0.013420000000000001,64,2000,57.99999999999999
295,xavier,0.9147400000000001,32,2000,57.99999999999999
323,xavier,0.9149,32,2000,57.99999999999999
454,xavier,0.7853300000000001,8,1000,57.99999999999999
481,xavier,0.85272,8,500,57.99999999999999
482,xavier,0.85272,8,1000,57.99999999999999
552,xavier,0.15482,128,100,57.99999999999999
575,gauss,0.9147400000000001,32,2000,57.99999999999999
603,gauss,0.9149,32,2000,57.99999999999999
636,gauss,0.45595,128,100,57.99999999999999
688,gauss,0.41642,64,100,57.99999999999999
733,gauss,0.7853300000000001,8,500,57.99999999999999
734,gauss,0.7853300000000001,8,1000,57.99999999999999
761,gauss,0.85272,8,500,57.99999999999999
762,gauss,0.85272,8,1000,57.99999999999999
784,gauss,0.013420000000000001,4,100,57.99999999999999
801,gauss,0.013420000000000001,64,500,57.99999999999999
803,gauss,0.013420000000000001,64,2000,57.99999999999999
5,zero,0.9147400000000001,8,500,56.99999999999999
33,zero,0.9149,8,500,56.99999999999999
208,zero,0.85272,32,100,56.99999999999999
236,zero,0.013420000000000001,32,100,56.99999999999999
246,zero,0.013420000000000001,128,1000,56.99999999999999
251,zero,0.013420000000000001,256,2000,56.99999999999999
276,zero,0.15482,256,100,56.99999999999999
278,zero,0.15482,256,1000,56.99999999999999
285,xavier,0.9147400000000001,8,500,56.99999999999999
313,xavier,0.9149,8,500,56.99999999999999
565,gauss,0.9147400000000001,8,500,56.99999999999999
593,gauss,0.9149,8,500,56.99999999999999
792,gauss,0.013420000000000001,16,100,56.99999999999999
811,gauss,0.013420000000000001,256,2000,56.99999999999999
838,gauss,0.15482,256,1000,56.99999999999999
0,zero,0.9147400000000001,4,100,56.00000000000001
28,zero,0.9149,4,100,56.00000000000001
108,zero,0.21651,256,100,56.00000000000001
424,xavier,0.6437900000000001,8,100,56.00000000000001
704,gauss,0.6437900000000001,8,100,56.00000000000001
836,gauss,0.15482,256,100,56.00000000000001
12,zero,0.9147400000000001,32,100,55.00000000000001
40,zero,0.9149,32,100,55.00000000000001
452,xavier,0.7853300000000001,8,100,55.00000000000001
732,gauss,0.7853300000000001,8,100,55.00000000000001
240,zero,0.013420000000000001,64,100,54.0
244,zero,0.013420000000000001,128,100,54.0
245,zero,0.013420000000000001,128,500,54.0
248,zero,0.013420000000000001,256,100,54.0
249,zero,0.013420000000000001,256,500,54.0
284,xavier,0.9147400000000001,8,100,54.0
312,xavier,0.9149,8,100,54.0
480,xavier,0.85272,8,100,54.0
564,gauss,0.9147400000000001,8,100,54.0
592,gauss,0.9149,8,100,54.0
760,gauss,0.85272,8,100,54.0
800,gauss,0.013420000000000001,64,100,54.0
804,gauss,0.013420000000000001,128,100,54.0
808,gauss,0.013420000000000001,256,100,54.0
809,gauss,0.013420000000000001,256,500,54.0
250,zero,0.013420000000000001,256,1000,53.0
796,gauss,0.013420000000000001,32,100,53.0
805,gauss,0.013420000000000001,128,500,53.0
810,gauss,0.013420000000000001,256,1000,53.0
