,Init Mode,Learning Rate,Batch Size,# of Epochs,Accuracy
37,zero,0.9149,16,500,67.0
45,zero,0.9149,64,500,67.0
49,zero,0.9149,128,500,67.0
50,zero,0.9149,128,1000,67.0
55,zero,0.9149,256,2000,67.0
56,zero,0.45595,4,100,67.0
66,zero,0.45595,16,1000,67.0
69,zero,0.45595,32,500,67.0
73,zero,0.45595,64,500,67.0
77,zero,0.45595,128,500,67.0
91,zero,0.21651,8,2000,67.0
98,zero,0.21651,32,1000,67.0
101,zero,0.21651,64,500,67.0
102,zero,0.21651,64,1000,67.0
122,zero,0.41642,16,1000,67.0
127,zero,0.41642,32,2000,67.0
129,zero,0.41642,64,500,67.0
133,zero,0.41642,128,500,67.0
134,zero,0.41642,128,1000,67.0
138,zero,0.41642,256,1000,67.0
156,zero,0.6437900000000001,64,100,67.0
157,zero,0.6437900000000001,64,500,67.0
161,zero,0.6437900000000001,128,500,67.0
162,zero,0.6437900000000001,128,1000,67.0
166,zero,0.6437900000000001,256,1000,67.0
167,zero,0.6437900000000001,256,2000,67.0
172,zero,0.7853300000000001,8,100,67.0
177,zero,0.7853300000000001,16,500,67.0
179,zero,0.7853300000000001,16,2000,67.0
189,zero,0.7853300000000001,128,500,67.0
195,zero,0.7853300000000001,256,2000,67.0
200,zero,0.85272,8,100,67.0
205,zero,0.85272,16,500,67.0
217,zero,0.85272,128,500,67.0
218,zero,0.85272,128,1000,67.0
223,zero,0.85272,256,2000,67.0
226,zero,0.013420000000000001,4,1000,67.0
234,zero,0.013420000000000001,16,1000,67.0
261,zero,0.15482,16,500,67.0
271,zero,0.15482,64,2000,67.0
288,xavier,0.9147400000000001,16,100,67.0
289,xavier,0.9147400000000001,16,500,67.0
297,xavier,0.9147400000000001,64,500,67.0
301,xavier,0.9147400000000001,128,500,67.0
302,xavier,0.9147400000000001,128,1000,67.0
304,xavier,0.9147400000000001,256,100,67.0
307,xavier,0.9147400000000001,256,2000,67.0
316,xavier,0.9149,16,100,67.0
317,xavier,0.9149,16,500,67.0
325,xavier,0.9149,64,500,67.0
329,xavier,0.9149,128,500,67.0
330,xavier,0.9149,128,1000,67.0
332,xavier,0.9149,256,100,67.0
335,xavier,0.9149,256,2000,67.0
346,xavier,0.45595,16,1000,67.0
353,xavier,0.45595,64,500,67.0
358,xavier,0.45595,128,1000,67.0
369,xavier,0.21651,8,500,67.0
377,xavier,0.21651,32,500,67.0
380,xavier,0.21651,64,100,67.0
381,xavier,0.21651,64,500,67.0
402,xavier,0.41642,16,1000,67.0
407,xavier,0.41642,32,2000,67.0
409,xavier,0.41642,64,500,67.0
413,xavier,0.41642,128,500,67.0
414,xavier,0.41642,128,1000,67.0
420,xavier,0.6437900000000001,4,100,67.0
442,xavier,0.6437900000000001,128,1000,67.0
443,xavier,0.6437900000000001,128,2000,67.0
447,xavier,0.6437900000000001,256,2000,67.0
448,xavier,0.7853300000000001,4,100,67.0
456,xavier,0.7853300000000001,16,100,67.0
459,xavier,0.7853300000000001,16,2000,67.0
465,xavier,0.7853300000000001,64,500,67.0
469,xavier,0.7853300000000001,128,500,67.0
475,xavier,0.7853300000000001,256,2000,67.0
476,xavier,0.85272,4,100,67.0
484,xavier,0.85272,16,100,67.0
485,xavier,0.85272,16,500,67.0
493,xavier,0.85272,64,500,67.0
497,xavier,0.85272,128,500,67.0
498,xavier,0.85272,128,1000,67.0
500,xavier,0.85272,256,100,67.0
503,xavier,0.85272,256,2000,67.0
541,xavier,0.15482,16,500,67.0
542,xavier,0.15482,16,1000,67.0
568,gauss,0.9147400000000001,16,100,67.0
569,gauss,0.9147400000000001,16,500,67.0
581,gauss,0.9147400000000001,128,500,67.0
582,gauss,0.9147400000000001,128,1000,67.0
587,gauss,0.9147400000000001,256,2000,67.0
596,gauss,0.9149,16,100,67.0
597,gauss,0.9149,16,500,67.0
609,gauss,0.9149,128,500,67.0
610,gauss,0.9149,128,1000,67.0
615,gauss,0.9149,256,2000,67.0
626,gauss,0.45595,16,1000,67.0
629,gauss,0.45595,32,500,67.0
633,gauss,0.45595,64,500,67.0
637,gauss,0.45595,128,500,67.0
651,gauss,0.21651,8,2000,67.0
658,gauss,0.21651,32,1000,67.0
661,gauss,0.21651,64,500,67.0
662,gauss,0.21651,64,1000,67.0
682,gauss,0.41642,16,1000,67.0
687,gauss,0.41642,32,2000,67.0
689,gauss,0.41642,64,500,67.0
693,gauss,0.41642,128,500,67.0
694,gauss,0.41642,128,1000,67.0
698,gauss,0.41642,256,1000,67.0
700,gauss,0.6437900000000001,4,100,67.0
713,gauss,0.6437900000000001,32,500,67.0
717,gauss,0.6437900000000001,64,500,67.0
721,gauss,0.6437900000000001,128,500,67.0
722,gauss,0.6437900000000001,128,1000,67.0
726,gauss,0.6437900000000001,256,1000,67.0
727,gauss,0.6437900000000001,256,2000,67.0
728,gauss,0.7853300000000001,4,100,67.0
736,gauss,0.7853300000000001,16,100,67.0
737,gauss,0.7853300000000001,16,500,67.0
739,gauss,0.7853300000000001,16,2000,67.0
749,gauss,0.7853300000000001,128,500,67.0
755,gauss,0.7853300000000001,256,2000,67.0
756,gauss,0.85272,4,100,67.0
764,gauss,0.85272,16,100,67.0
765,gauss,0.85272,16,500,67.0
777,gauss,0.85272,128,500,67.0
778,gauss,0.85272,128,1000,67.0
783,gauss,0.85272,256,2000,67.0
786,gauss,0.013420000000000001,4,1000,67.0
794,gauss,0.013420000000000001,16,1000,67.0
819,gauss,0.15482,8,2000,67.0
821,gauss,0.15482,16,500,67.0
831,gauss,0.15482,64,2000,67.0
13,zero,0.9147400000000001,32,500,66.0
19,zero,0.9147400000000001,64,2000,66.0
41,zero,0.9149,32,500,66.0
47,zero,0.9149,64,2000,66.0
58,zero,0.45595,4,1000,66.0
62,zero,0.45595,8,1000,66.0
70,zero,0.45595,32,1000,66.0
75,zero,0.45595,64,2000,66.0
85,zero,0.21651,4,500,66.0
87,zero,0.21651,4,2000,66.0
92,zero,0.21651,16,100,66.0
93,zero,0.21651,16,500,66.0
104,zero,0.21651,128,100,66.0
105,zero,0.21651,128,500,66.0
113,zero,0.41642,4,500,66.0
126,zero,0.41642,32,1000,66.0
131,zero,0.41642,64,2000,66.0
147,zero,0.6437900000000001,8,2000,66.0
149,zero,0.6437900000000001,16,500,66.0
153,zero,0.6437900000000001,32,500,66.0
154,zero,0.6437900000000001,32,1000,66.0
158,zero,0.6437900000000001,64,1000,66.0
159,zero,0.6437900000000001,64,2000,66.0
175,zero,0.7853300000000001,8,2000,66.0
181,zero,0.7853300000000001,32,500,66.0
184,zero,0.7853300000000001,64,100,66.0
187,zero,0.7853300000000001,64,2000,66.0
203,zero,0.85272,8,2000,66.0
204,zero,0.85272,16,100,66.0
209,zero,0.85272,32,500,66.0
212,zero,0.85272,64,100,66.0
